 , ,S1,S2,S3,S4,V,L,PRAC DRILL,PLAY #,QB,HASH,FPOS,DN,DIST,PERSON,OFF FORM,MOTION,OFF PLAY,OVO CONCEPT,JERSEY #,OVO RESULT,PLAY CALL,R/P,GAIN,REC#,PLAY RESULT,FORM FAM,FIB,BLITZ,FRONT,RUSHERS,STUNT,COVERAGE,DFE TEAM,OFF TEAM,TAPE LABELS
TOTALS:, , , , , , , , , , , , , , , , , , , , , , ,921 (49.3%) / 887 (47.5%),5.54, , , , , , , , , , , , 
1, , , , , , , , ,11,11, ,-28,1,10,11,LATE, ,F/S 6,6/7/F/S, , , ,R,9,9, , ,Y, , , , , ,RICHMOND,WILLIAM & MARY,24 1450 11-23-2024 VAWM D @ VARI.011
2, , , , , , , , ,1,14, ,-25,0,10,12,DOOR,Z FLY,8,9-Aug,9,R, ,R,0, , , , , ,ODD S, , ,3 ZD,DELAWARE,RICHMOND,24 0881 10-19-2024 VARI D vs DEUN.001
3, , , , , , , , ,20,14, ,-42,0,10,12,SLD FLO,X MV,9,8,9,R, ,R,-2, , , , , ,ODD, , ,4 ROBBER,DELAWARE,RICHMOND,24 0881 10-19-2024 VARI D vs DEUN.020
4, , , , , , , , ,11,16,R,48,1,10,12,TRP FL, ,8 BACK BELLY,8/9/BACK/BELLY,7,R, ,R,-2, , ,SLD FLO, , , , , ,3 WK,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.011
5, , , , , , , , ,21,16,R,46,1,10,12,DEUCE,H MV,8 BACK LD,8/9/BACK/LD,9,R, ,R,6, , ,DEUCE, , ,UND, , ,4,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.021
6, , , , , , , , ,9,14,R,12,1,10,12,DEUCE,H MV,8 BACK LD,8/9/BACK/LD,8,R, ,R,1, , ,DEUCE,N,PYTHON,ODD 3/5, , ,BISON,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.009
7, , , , , , , , ,24,16,R,-45,1,10,11,SLD UND X ON,Z ORB,9 BACK TOSS,8/9/BACK/TOSS,2,R+, ,R,11, , ,UNBL, , ,UND G, , ,3 SPEAR,ELON,RICHMOND,23 1251 11-11-2023 VARI D vs NCEL.024
8, , , , , , , , ,12,16,R,35,1,10,12,SLD UND X ON,Z ORB,9 BACK TOSS,8/9/BACK/TOSS,2,R, ,R,-1, , , , , ,OVR,4, ,6,ALBANY,RICHMOND,23 1547 12-02-2023 VARI D @ NYAB.012
9, , , , , , , , ,51,14,L,-47,1,10,12,SLD FL X ON, ,12,13-Dec,9,R, ,R,8, , , , , ,UND TITE, , ,4,TOWSON,RICHMOND,24 1108 11-02-2024 VARI D vs MDTO.051
10, , , , , , , , ,43,18,L,-5,1,10,11,TRP,Z FLY,13,13-Dec,1,R, ,R,3, , ,TRP, , ,UND,4, ,4,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.043
11, , , , , , , , ,47,16,R,33,1,10,HVY TREY,TRP, ,13,13-Dec,8,R, ,R,3, , ,SLD, ,W3,RUSH W,5, ,4,CAMPBELL,RICHMOND,23 1004 10-28-2023 VARI D vs NCCM.047
